data_source_name,normalized_data_source_name,family,source,sourcetype,mitre_components,supported_ta_names,supported_ta_versions,supported_ta_urls,output_fields,source_file
AWS CloudTrail DeleteSnapshot,aws cloudtrail deletesnapshot,AWS,aws_cloudtrail,aws:cloudtrail,Snapshot Deletion; Snapshot Metadata; Cloud Service Modification; Cloud Service Metadata,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_deletesnapshot.yml
AWS CloudTrail DeleteTrail,aws cloudtrail deletetrail,AWS,aws_cloudtrail,aws:cloudtrail,Cloud Service Modification; Cloud Service Metadata; Application Log Content; Host Status,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_deletetrail.yml
AWS CloudTrail DeleteVirtualMFADevice,aws cloudtrail deletevirtualmfadevice,AWS,aws_cloudtrail,aws:cloudtrail,User Account Authentication; User Account Deletion,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_deletevirtualmfadevice.yml
AWS CloudTrail DeleteWebACL,aws cloudtrail deletewebacl,AWS,aws_cloudtrail,aws:cloudtrail,Cloud Service Modification; Cloud Service Metadata,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_deletewebacl.yml
AWS CloudTrail DescribeEventAggregates,aws cloudtrail describeeventaggregates,AWS,aws_cloudtrail,aws:cloudtrail,Cloud Service Enumeration; Cloud Service Metadata,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_describeeventaggregates.yml
AWS CloudTrail DescribeImageScanFindings,aws cloudtrail describeimagescanfindings,AWS,aws_cloudtrail,aws:cloudtrail,Image Metadata; Image Modification; Malware Metadata,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_describeimagescanfindings.yml
AWS CloudTrail DescribeSnapshotAttribute,aws cloudtrail describesnapshotattribute,AWS,aws_cloudtrail,aws:cloudtrail,,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,action; app; authentication_method; awsRegion; aws_account_id; change_type; command; date_hour; date_mday; date_minute; date_month; date_second; date_wday; date_year; date_zone; desc; dest; dest_ip_range; dest_port_range; direction; dvc; errorCode; errorMessage; eventCategory; eventID; eventName; eventSource; eventTime; eventType; eventVersion; eventtype; host; image_id; index; instance_type; linecount; managementEvent; msg; object; object_attrs; object_category; object_id; product; protocol; protocol_code; punct; readOnly; reason; recipientAccountId; region; requestID; requestParameters.attributeType; requestParameters.snapshotId; responseElements; result; result_id; rule_action; signature; source; sourceIPAddress; sourcetype; splunk_server; splunk_server_group; src; src_ip; src_ip_range; src_port_range; src_user; src_user_id; src_user_name; src_user_role; src_user_type; start_time; status; tag; tag::action; tag::app; tag::eventtype; tag::object_category; temp_access_key; timeendpos; timestartpos; tlsDetails.cipherSuite; tlsDetails.clientProvidedHostHeader; tlsDetails.tlsVersion; user; userAgent; userIdentity.accessKeyId; userIdentity.accountId; userIdentity.arn; userIdentity.principalId; userIdentity.sessionContext.attributes.creationDate; userIdentity.sessionContext.attributes.mfaAuthenticated; userIdentity.sessionContext.sessionIssuer.accountId; userIdentity.sessionContext.sessionIssuer.arn; userIdentity.sessionContext.sessionIssuer.principalId; userIdentity.sessionContext.sessionIssuer.type; userIdentity.sessionContext.sessionIssuer.userName; userIdentity.type; userName; user_access_key; user_agent; user_arn; user_group_id; user_id; user_name; user_role; user_type; vendor; vendor_account; vendor_product; vendor_region; _bkt; _cd; _eventtype_color; _indextime; _raw; _serial; _si; _sourcetype; _time,data_sources/aws_cloudtrail_describesnapshotattribute.yml
AWS CloudTrail GetAccountPasswordPolicy,aws cloudtrail getaccountpasswordpolicy,AWS,aws_cloudtrail,aws:cloudtrail,User Account Authentication; User Account Metadata,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_getaccountpasswordpolicy.yml
AWS CloudTrail GetObject,aws cloudtrail getobject,AWS,aws_cloudtrail,aws:cloudtrail,Cloud Storage Access; Cloud Storage Metadata; Cloud Storage Enumeration,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_getobject.yml
AWS CloudTrail GetPasswordData,aws cloudtrail getpassworddata,AWS,aws_cloudtrail,aws:cloudtrail,Instance Metadata; User Account Authentication,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_getpassworddata.yml
AWS CloudTrail InvokeModel,aws cloudtrail invokemodel,AWS,aws_cloudtrail,aws:cloudtrail,Cloud Service Usage,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_invokemodel.yml
AWS CloudTrail JobCreated,aws cloudtrail jobcreated,AWS,aws_cloudtrail,aws:cloudtrail,Scheduled Job Creation; Cloud Service Metadata,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_jobcreated.yml
AWS CloudTrail ListFoundationModels,aws cloudtrail listfoundationmodels,AWS,aws_cloudtrail,aws:cloudtrail,Cloud Service Discovery,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_listfoundationmodels.yml
AWS CloudTrail ModifyDBInstance,aws cloudtrail modifydbinstance,AWS,aws_cloudtrail,aws:cloudtrail,Instance Modification; Cloud Service Modification; Instance Metadata,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_modifydbinstance.yml
AWS CloudTrail ModifyImageAttribute,aws cloudtrail modifyimageattribute,AWS,aws_cloudtrail,aws:cloudtrail,Image Modification; Image Metadata,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_modifyimageattribute.yml
AWS CloudTrail ModifySnapshotAttribute,aws cloudtrail modifysnapshotattribute,AWS,aws_cloudtrail,aws:cloudtrail,Snapshot Modification,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_modifysnapshotattribute.yml
AWS CloudTrail PutBucketAcl,aws cloudtrail putbucketacl,AWS,aws_cloudtrail,aws:cloudtrail,Cloud Storage Modification; Cloud Storage Metadata,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_putbucketacl.yml
AWS CloudTrail PutBucketLifecycle,aws cloudtrail putbucketlifecycle,AWS,aws_cloudtrail,aws:cloudtrail,Cloud Storage Modification; Cloud Storage Metadata,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_putbucketlifecycle.yml
AWS CloudTrail PutBucketReplication,aws cloudtrail putbucketreplication,AWS,aws_cloudtrail,aws:cloudtrail,Cloud Storage Modification,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_putbucketreplication.yml
AWS CloudTrail PutBucketVersioning,aws cloudtrail putbucketversioning,AWS,aws_cloudtrail,aws:cloudtrail,Cloud Storage Modification,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_putbucketversioning.yml
AWS CloudTrail PutImage,aws cloudtrail putimage,AWS,aws_cloudtrail,aws:cloudtrail,Image Creation; Image Metadata,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_putimage.yml
AWS CloudTrail PutKeyPolicy,aws cloudtrail putkeypolicy,AWS,aws_cloudtrail,aws:cloudtrail,Cloud Service Modification,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_putkeypolicy.yml
AWS CloudTrail ReplaceNetworkAclEntry,aws cloudtrail replacenetworkaclentry,AWS,aws_cloudtrail,aws:cloudtrail,Firewall Rule Modification; Cloud Service Modification,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_replacenetworkaclentry.yml
AWS CloudTrail SetDefaultPolicyVersion,aws cloudtrail setdefaultpolicyversion,AWS,aws_cloudtrail,aws:cloudtrail,Cloud Service Modification; Cloud Service Metadata,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_setdefaultpolicyversion.yml
AWS CloudTrail StopLogging,aws cloudtrail stoplogging,AWS,aws_cloudtrail,aws:cloudtrail,Cloud Service Disable,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_stoplogging.yml
AWS CloudTrail UpdateAccountPasswordPolicy,aws cloudtrail updateaccountpasswordpolicy,AWS,aws_cloudtrail,aws:cloudtrail,User Account Modification; Cloud Service Modification,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_updateaccountpasswordpolicy.yml
AWS CloudTrail UpdateLoginProfile,aws cloudtrail updateloginprofile,AWS,aws_cloudtrail,aws:cloudtrail,User Account Modification; User Account Authentication,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_updateloginprofile.yml
AWS CloudTrail UpdateSAMLProvider,aws cloudtrail updatesamlprovider,AWS,aws_cloudtrail,aws:cloudtrail,Cloud Service Modification; User Account Modification; Cloud Service Metadata,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_updatesamlprovider.yml
AWS CloudTrail UpdateTrail,aws cloudtrail updatetrail,AWS,aws_cloudtrail,aws:cloudtrail,Cloud Service Modification; Cloud Service Metadata,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_updatetrail.yml
AWS CloudWatchLogs VPCflow,aws cloudwatchlogs vpcflow,AWS,aws_cloudwatchlogs_vpcflow,aws:cloudwatchlogs:vpcflow,Network Traffic Flow; Network Connection Creation,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,action; src; src_ip; dest; dest_ip; dest_port; transport,data_sources/aws_cloudwatchlogs_vpcflow.yml
AWS Security Hub,aws security hub,AWS,aws_securityhub_finding,aws:securityhub:finding,Cloud Service Metadata; Cloud Service Enumeration; Cloud Service Modification; Cloud Service Disable,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,_time; AwsAccountId; CreatedAt; Description; FirstObservedAt; GeneratorId; Id; LastObservedAt; ProductArn; ProductFields.aws/guardduty/service/action/actionType; ProductFields.aws/guardduty/service/action/awsApiCallAction/affectedResources/AWS::S3::Bucket; ProductFields.aws/guardduty/service/action/awsApiCallAction/api; ProductFields.aws/guardduty/service/action/awsApiCallAction/callerType; ProductFields.aws/guardduty/service/action/awsApiCallAction/remoteIpDetails/city/cityName; ProductFields.aws/guardduty/service/action/awsApiCallAction/remoteIpDetails/country/countryName; ProductFields.aws/guardduty/service/action/awsApiCallAction/remoteIpDetails/geoLocation/lat; ProductFields.aws/guardduty/service/action/awsApiCallAction/remoteIpDetails/geoLocation/lon; ProductFields.aws/guardduty/service/action/awsApiCallAction/remoteIpDetails/ipAddressV4; ProductFields.aws/guardduty/service/action/awsApiCallAction/remoteIpDetails/organization/asn; ProductFields.aws/guardduty/service/action/awsApiCallAction/remoteIpDetails/organization/asnOrg; ProductFields.aws/guardduty/service/action/awsApiCallAction/remoteIpDetails/organization/isp; ProductFields.aws/guardduty/service/action/awsApiCallAction/remoteIpDetails/organization/org; ProductFields.aws/guardduty/service/action/awsApiCallAction/serviceName; ProductFields.aws/guardduty/service/additionalInfo/sample; ProductFields.aws/guardduty/service/additionalInfo/unusual/hoursOfDay.0_; ProductFields.aws/guardduty/service/additionalInfo/unusual/userNames.0_; ProductFields.aws/guardduty/service/archived; ProductFields.aws/guardduty/service/count; ProductFields.aws/guardduty/service/detectorId; ProductFields.aws/guardduty/service/eventFirstSeen; ProductFields.aws/guardduty/service/eventLastSeen; ProductFields.aws/guardduty/service/resourceRole; ProductFields.aws/guardduty/service/serviceName; ProductFields.aws/securityhub/CompanyName; ProductFields.aws/securityhub/FindingId; ProductFields.aws/securityhub/ProductName; RecordState; Resources{}.Details.AwsEc2Instance.IamInstanceProfileArn; Resources{}.Details.AwsEc2Instance.ImageId; Resources{}.Details.AwsEc2Instance.IpV4Addresses{}; Resources{}.Details.AwsEc2Instance.LaunchedAt; Resources{}.Details.AwsEc2Instance.SubnetId; Resources{}.Details.AwsEc2Instance.Type; Resources{}.Details.AwsEc2Instance.VpcId; Resources{}.Details.AwsIamAccessKey.PrincipalId; Resources{}.Details.AwsIamAccessKey.PrincipalName; Resources{}.Details.AwsIamAccessKey.PrincipalType; Resources{}.Details.AwsS3Bucket.CreatedAt; Resources{}.Details.AwsS3Bucket.OwnerId; Resources{}.Details.AwsS3Bucket.ServerSideEncryptionConfiguration.Rules{}.ApplyServerSideEncryptionByDefault.KMSMasterKeyID; Resources{}.Details.AwsS3Bucket.ServerSideEncryptionConfiguration.Rules{}.ApplyServerSideEncryptionByDefault.SSEAlgorithm; Resources{}.Id; Resources{}.Partition; Resources{}.Region; Resources{}.Tags.GeneratedFindingInstaceTag1; Resources{}.Tags.GeneratedFindingInstaceTag2; Resources{}.Tags.GeneratedFindingInstaceTag3; Resources{}.Tags.GeneratedFindingInstaceTag4; Resources{}.Tags.GeneratedFindingInstaceTag5; Resources{}.Tags.GeneratedFindingInstaceTag6; Resources{}.Tags.GeneratedFindingInstaceTag7; Resources{}.Tags.GeneratedFindingInstaceTag8; Resources{}.Tags.GeneratedFindingInstaceTag9; Resources{}.Tags.foo; Resources{}.Type; SchemaVersion; Severity.Label; Severity.Normalized; Severity.Product; SourceUrl; Title; Types{}; UpdatedAt; Workflow.Status; WorkflowState; accesskey_extract; app; body; description; dest; dest_type; eventtype; host; id; index; instance_extract; linecount; punct; s3bucket_extract; severity; severity_id; signature; signature_id; source; sourcetype; splunk_server; subject; tag; tag::eventtype; timestamp; type; vendor_account; vendor_region,data_sources/aws_security_hub.yml
Azure Active Directory,azure active directory,Azure,Azure AD,azure:monitor:aad,,Splunk Add-on for Microsoft Cloud Services,6.1.0,https://splunkbase.splunk.com/app/3110,dest; user; src; vendor_account; vendor_product,data_sources/azure_active_directory.yml
